heading,post
"
					Giving Up
				","

							I am 17 years old and feel very alone. My relationship with my family is very messed up, I feel I have given up on trying to improve myself anymore for them because I keep screwing things up so much. (Like following rules, etc.) The only person I really really care about right now is my girlfriend, but we don't live so close to each other and therefore we've been having many problems communicating. She also takes advantage of the distance by leaving me for hours at a time whenever she is upset about something, leaving me very anxious and waiting for her to reply. It messes with me so much because I love her so much and my love is constantly thrown to the side whenever she gets upset since it's usually related to me. I don't know what to do because the ways I have to talk to her are getting taken from me from my family since I have started giving up on trying. "
"
					Stepping away from the ledge
				","

							How do i start. "
"
					I dont know what else to do whats wrong with me, Ive lost everything
				","

							im 23, male"
"
					What to do in crisis situations?
				","

							I have quite a bad depression for which I have to take medication. As far as I can tell it's mostly due to my loneliness. When you're nearing 30 and still hoping for your first kiss it just really wears on you. As long as there is someone I can view as a potential partner, I can manage it decently thanks to my medication, but as I recently faced rejection all my usual depressive symptoms came back in full force. I usually get stuck in a situation where I'm unable to do anything but lay down and cry and it can last hours. It is at these points, that suicide feels like the only option. As unfortunate as it is, if I had access to something that'd dispatch me quickly and painlessly like a bullet to the brain, I would in all likelihood wouldn't even be here."
"
					Super depressed
				","

							Wake up feeling bad.  Same anxieties returning over and over.  Gets old.


"
"
					Lost Identity and Hope
				","

							I have been stricken with the loss of my identity. Due to the fact that I have lost basically every meaningful thing in my life; My relationship, my house, my job, my money, my family and friends. I feel all is lost...this life isnt worth it anymore. I cant overcome the tremendous loss(es) I have been dealt with over past 2 years...now it seems i lost my faith and any hope...


"
"
					I just want to end it all.
				","

							Hi everyone. I don’t know what to do I feel so lost and empty. Basically a backstory when I was 16 I had my virginity taken by a rapist which scarred me. A short while after this event I met a boy who I fell in love with, he made me very happy but he broke up with me suddenly and I’ve been depressed since. I engaged in promiscuous behavior I’m not proud of and I’ve had sex with 17 men. One of them told me that he tested positive for hepatitis c which means I might have it. I’m getting tested today and I’m terrified. I already feel that my life isn’t worth sh*t and if I test positive I’m really going to feel worthless. Every time i think things are getting better they don’t. I’m able to meet guys but they usually are just interested in sex. I recently met a guy who I fancied but I ended up sleeping over his house and putting out on the first date, and now he switched up and is acting indifferent towards me. I know I have nobody to blame but myself. I’m not a sex addict or something the truth is being raped made me so jaded towards it it doesn’t mean sh*t to me now so I end up putting out because it’s difficult for me to say no. "
"
					Does medication work on the long term?
				","

							Some say medication is used only to surpress feelings, to pack it down into your archive instead of healing it. My cousin needed a month to find the type of antidepressant that worked for her. After taking these for another whole month, all while also using meds to protect her stomach, she became addicted to them. She had to slowly break down her usage to zero and this took another whole month. After quitting her depression simply showed up again."
"
					Just Done
				","

							This is so hard to write, I know my feelings are not forever but I just can’t get past how horrible everything feels. I don’t want to do anything to myself, but I also don’t care to be trapped in my crappy life anymore. If you’re inclined to read this, I’m happy to hear any suggestions other than hating every minute of every day. "
"
					Too suicidal to live, but too scared to commit suicide
				","

							My earliest memory of suicide was when I was 10. I tried to hang myself with a bath towel. I didn't grow up in a loving household, however it wasn't an abusive one either. We rarely had family dinners and no one seemed to ever care what was going on with each other. It was a very lonely childhood. I never misbehaved or got into trouble so I was left alone. Like a living ghost in my home. I remember having a teddybear who I fantasized would give me fatherly advice. Sad emotions were a taboo in my family, and very much still are 23 years later. "
"
					Help
				","

							I am a porn addict living a lie. "
"
					Boyfriend of ten years committed suicide and now I'm really struggling
				","

							Recently I experienced the most tragic loss, I have ever had to face, my beautiful partner of ten years committed suicide and since his death I am struggling to think of reasons to live myself, his departing has put holes in my heart that cannot be filled, I feel beyond empty, emotionally drained every day, every morning I wake up and everything seems so futile, even something as simple as having a shower, every normal action has lost meaning, I've been told a number of things, such as ""Time will heal all"" And ""You'll find someone else"" ""Things will get better"" things that I feel are said with the best intentions but offer little comfort, I am totally and utterly lost without him, we talked of having children, maybe getting married, we were both studying, it really was such a shock for everyone who knew him. I knew he was depressed but I never thought he would take his own life."
"
					I Wanna Take My Life
				","

							Even tho i have been talked out of committing suicide more times than i can count but i still think about it -- i'll be fine and go to the store and walk by something a have the worst thoughts, like i walk into the cooking isle and see the knives and think what i could do w/ one.  Even tho I haven't OD in a while i still think bout it -- Worst of all i still think about my plan, where and when and how...."
"
					im losing hope
				","

							I have been at the point of where I don't even want to be on this earth anymore. Im losing my faith I need someone to talk to my best friend that is like a sister to me is angry and blocked me I broke a rule and I feel I lost her and I don't know how to fix this at all plus I'm so sad now I mean its a huge fight i had and i have tried speaking to her .


"
"
					I just can't deal with these things anymore
				","

							Just as I started a new job, a new life after my ex moved out, things again took a different turn as I expected."
,"

							Hi. I’m going through something harsh right now. I want to tell you what happened so You can tell me what to do, or what you think about this situation. My parents separated and the day it happened, my mother threatened with suicide and then she used me: she told me that if I didn’t call my dad to come back, she would kill Herself. She started dressing up as if she was going outside to do it, and while she was doing it she kept telling me “I’m going to kill myself. Ever since I was 14 I don’t wanna live anymore. If you don’t call your dad I’m gonna kill myself” she kept repeating that over and over again. Her dad passed away when she was 14 so I suppose that’s the reason for her suicidal tendencies. Well so while she was telling me all that horrible stuff - and I must mention that she went under surgery last year, she almost died but didn’t thank god, and she had the nerve to tell me SHE MUST HAVE DIED THERE IN THE HOSPITAL - I started shaking and trembling and I started crying. My mother was capable of doing something like that to me. I couldn’t believe it. I called my father and told him I wanted him to pick me up and go to my grandpa’s house. When he came to pick me up, my mother took the keys off my hands, didn’t bother to put some pants on, and went outside and started screaming like crazy. Then she stood in front of my dads car, and started yelling “If you get away from here you’ll have to run me over with your car”. It was the middle of the night and I almost had an anxiety attack because of the nervousness."
,"

							I hate life so much. I'm just a complete wreck of a human being. My future is completely hopeless. If I lose my current job, I will have nothing. My job is my whole life. There is nothing else in my life. I have no social life. Very few friends. I haven't had a girlfriend in six years. I haven't had sexual activity of any kind (with another person) in four years. I have absurdly terrible luck with the opposite sex. This past week I went to a strip club twice just to be around girls. It's pretty bad when you need strippers to provide you with female companionship. That's pretty near rock bottom, I'd say. "
"
					Cant fight anymore
				","

							I will try to make this as short as I can."
"
					Worried about my friend
				","

							My friend has been going through mental issues as long as I can remember."
"
					I miss him
				","

							I don’t know what to do. My husband and I have a son who was stillborn three years ago. Since then we have had two living children. I have developed an anxiety disorder as well as an eating disorder and OCD. These things I feel make me a bad influence and role model for my girls. I am a horrible wife and can’t stand my husband most of the time. I threaten to divorce him then beg for him back on a monthly basis. "
"
					Why is this wrong?
				","

							I hate that the greatest lie I've ever told is ""I'm fine.""  It has never nor will it ever be the truth.  I am not being emotional anymore.  This is not some thought because of some emotionally shattering event.  This wish for death, to stop existing in the world doesn't go away when I genuinely smile or laugh.  It doesn't go away when everything that could go right, does just that.  This is thought out. I know The unfortunate people that I may hurt.  I know the consequences.  I know what I want  So why is it wrong?  Why is almost every suicide attempt treated the same?  Every time I go to therapy or to those hospitals after a 5150, all I hear is about how things get better.  How I might get through this.  The gist is they think those feelings will settle down enough for me to live a life and finally see the bright colors of life one day.  They think I just want to do this because of a momentary laps in judgment.  I want this.  I want to die and the only reason I'm not now is because they made the easiest and most effective ways to carry this out impossible for me.  They made it so I can be ""Saved"" ff I try again on pills, cutting, or some other slow method of death.  I do not want to be saved.  I do not want to go into this then wake up in some hospital.  I do not want to one day wake up from this and be put into a life with even more hurdles and disabilities, or even just be put in a coma. I do not want to became even more burdening to someone else.  I just want to die.  To do it in a way I cant come back, and a way I wont wake up to even more hardships to bare for myself and those around me.  Why does everyone say its wrong for me to want this?  That its wrong for me to try and carry this out on my own?  I just wish to fade out.  I've worked now for so long just to put myself in a position where me just dying and disappearing will have the least amount of emotional strain on those around me.  I know family and friends and all that say they'll be heart broken but time heals.  They will move on with their lives and carry out their dreams.  They'll have their wants and I'll have mine.  This 5150 has 4 more years to go.  After that I go.  I just really hope no one tries to stop me


"
"
					I know I'm suicidal
				","

							For whatever reason, I grew up being suicidal. I can recall being six years old and wishing I was dead. I fantasized about it regularly. All the way into my mid-20s. As result of whatever self-work I did in my mid-20s I hit a strange/surreal point: I stopped thinking about suicide but not on purpose. On some random day, i said in my mind, ""What a minute. I haven't thought about suicide in maybe months."""
"
					I'm done
				","

							Mid 40s. Been dealing with depression for the last 20 years. Laundry list of medications, none of which worked. Tried ECT, TCM, therapy, etc. I have considered killing myself several times over the years but because of my own fears and my family, I have never pursued it with intent. A big part of my depression is my lack of ability to have a serious relationship over the past 25 years. I don't know if this is the root cause of the depression or a side effect of it. I thought in my younger days that in order to attract women, I need to be the best person I can be. I've managed to be fairly successful. I'm a professor and I'm pretty well known in my field. I stay in pretty good shape, enough to complete in crossfit competitions. But frankly, my work and my other pursuits don't bring me any joy anymore. The fact that I'm not in a relationship and I don't have a family weighs heavily on me. I've come to the point where everything in life seems pretty pointless. I'm beginning to think it is time.


"
"
					I want to commit suicide
				","

							I once watched a video on yt titled 'if you want to commit suicide, watch this video first'. I watched it until the end. It told me to talk to someone before I commit suicide."
,"

							It's my friends uncles funeral today. She hasn't seen him for years. I've been struggling for a long time with suicidal thoughts that just won't go away. "
"
					Having a hard time tonight
				","

							I'm a 26 year old gay male. I'm a good guy who is not into the crazy lifestyle that most people thrive off of. I don't party, drink, hook up or anything of that nature. I don't hang out with a lot of people because I don't agree with there lifestyles.                                                                         I met this guy on Adam4adam in person. Fist time ever on that site, because it is primarily about hooking up. His name is Jeff, and I was totally up front with him about my lifestye. We have hung out 6 times, and it has been pretty good except I noticed he is a very sexual person and I am more into love and compassion.                                                               We both like to see each other weekly and want to get to know each other. We were talking last night and he was talking about how we were a good match and I replied ""I love my Jamaican man"" referring to him. Then he texted ""What are you trying to get this excited work"". Then I asked him why he was feeling down, because he mentioned he was earlier in the conversation. I never heard from him, and messaged him later and told him how I love his culture, and that I said that because I am proud to be with someone of that race. I've been trying to call him and asked him what is having an issues about. He won't respond to me at all.                                              I'm really sad because I feel like I'm going to lose him over something so silly. I told myself I'd never been with anyone again because it can be really stressful sometimes and it's sooo hard to find someone I feel compatible with. Or who accepts me for my reserved lifestyle.


"
"
					Feeling low/suicidal
				","

							Hi my ex broke gf just broke up with me 2 months ago. We’ve spoken everyday. It was long distance her Uk me Australia, we discussed last week that we would consider getting back together once my citizenship is approved. She went away for the weekend to Italy on a romantic vacation with her new gf she never told me she was seeing anyone til just over a week ago. I reacted badly over the weekend to it was quiet nasty to her and now she says that any chance of us getting back together is out the window. I too have contemplated killing myself I’ve sat here all day working out which way to do it but I’m trying to be strong. I just can’t work out how to let her go or move on! The pain is deep. My hearts shattered. I need help but I know talking to someone doesn’t stop the pain and suicide isn’t the answer it’s working out how to let go and live without her I’m so lost.


"
