,post,Intent
0,"No emotion So I have come to a point after many years of depression and a self-depricating mindset that the only emotions I feel anymore are annoyance and frustration. These emotions are triggered, so it's not like an anxious constant frustration, only about 2 hours of each per week I would say. Any other times it's only neutrality. Anger, pleasure, joy, stress, all gone. Except for a brief 3 month period over a decade ago, for the first time since I can remember I don't feel depressed and lonely. I have made a certain lifestyle decision that I think is against the rules to elaborate upon, but I don't know whether to be worried. I mean, isn't an almost complete lack of emotion a sign of some sociopathic killer type of thing? I have never had murderous impulses and condemn human suffering, but from what I understand no emotion is a very bad type of thing. Or maybe it is peacefulness and I'm not sure that I know how to process this. I don't want to be crazy, but that type of thing isn't something one has control over, is it? Then again my suicidal tendencies are stronger than ever. Without a filter of emotion with which to process my thoights and motivations, I don't know where my thoughts and actions amy take me.",1
1,"WOW everyone here is my life savior!! Hi everyone, I've been reading the forum for a few hours and I can't believe how alone I'm NOT!!! I've cried, I've even yelled at the computer at some peoples posts and responses...out of love of course not anger...but who am I to judge, right? I'm on the fence of of suicide once again in my life...I've convinced myself that my presense is a bother to the small amount off people in my so-called life. That's including my daughter and my cheating husband in Iraq returning home in 2 days.... my suicide attempts in the past have been weak and just cries for help...yet I'm seriously considering it now...no holds bar...not talking to anyone about it...waiting for the right amount of meds to take, decided if I was really going to do it...why go to work, why pay my bills this month...why tell anyone? Honestly I don't want to die, I don't want to leave my daughter but she's 13 right now and naturally selfish by age...so I've convinced myself she's better off, she has her father who will give her a better life than I can. I love my job, yet that is ending in 6 weeks...off to umemployment I go...which won't cover my bills or rent, so I'm forced to have my daughter move in with her dad 4 hours away....I did have everything till the day I found out my husband cheated on me 3 days before he left for Iraq. I tried to stay strong...and didn't even tell him I knew because of where he was and didn't want to cause him more stress ""over there""...yet after 4 months of verbal abuse from him accusing me of cheating and doing whatever I want because he's not around I had it and told him....he changed his tune after that....then I found out about a girl online he was starting a internet relationship with...that's when I decided to leave...and I did being strong and standing up for myself and not teaching my daughter that it's okay to let people shit on you.... So I hear I sit on a pathetic sunday afternoon writing to you guys...cause someone hear may understand or relate...no one in my life understands...everyone thinks i'm idiot for leaving my husband casue atleast with him i was financially okay....sometime i think they were all right cause atleast back then...i didn't want to die...i just felt like i was dying a slow death....o yeah..I drink all the time too..another habit i started in the past 6 months....I'm even considering cutting now...I did it back when I was a teenager....I liked back then thought maybe doing that would give me a few more days.....I'm messed up and alone....and I'm really just looking for some friends...that can relate and I do the same....I really don't want to die alone....",1
2,"""Hope"" I have a ""see what happens"" approach to suicide. I guess for some people that's just hope. I don't like calling it that because it doesn't come off as being like a grounded solution. I like painting what could happen as a possibility that's almost pointless not to observe, because that's something my thinking brain can understand. That keeps me alive without really keeping my ""hopes"" up. Sometimes even that feels pointless, though. Sometimes I'm just suffering because whatever, fuck me I guess. Like there's no reason for it, and no reason to endure it. Better to post that here than to crave sympathy from actually nobody.",1
3,"Dealing with the demons I could probably write for hours about why I feel the way I do but the gist of it is that I don't feel like life has anything for me. I'm going through a lot of crap recently, and while I understand a good portion of it is self inflicted I can't escape the dark thoughts in my head....I've never tried to harm myself previously but life has been feeding me relentless shit for almost two months solid (and obviously before that, it's just that previously there were bits of happiness to break up the funk). It terrifies me that one day I'll be all alone (like always) and just decide I've had enough. It would be over in seconds. There would be no more pain, hurt, betrayal, lies, nothing but the perfection that can only exist in nothingness. I know there's good in the world. I'm sure there is. But I don't make friends well and my own family doesn't even seem to really care all that much. I so desperately want to just find a friend I can talk to about this shit. I've been told I need to see a counselor. I don't. I don't need just an hour of help per week. I need somebody I can text and talk to at 3AM when I'm at work all by myself with no distractions and I know the girl I love is laying down to sleep with someone else. I need to step back from the edge, and I guess I need to be convinced that the edge isn't all that great to begin with. Is there a term for any of this? Not necessarily wanting to kill yourself but feeling like one horrible thought or realization would push you over the edge? It's literally driving me crazy and I just don't know what to do anymore. Thanks for reading I guess. Hopefully this works. I'm running out of ideas.",1
4,"another close call today i was sitting in my room, writing down some thoughts in a notebook, and i suddenly had a really strong urge to commit suicide i thought about it pretty hard... two of my roommates were home, but they were in the other room, and my other roommate was out of the apartment. i knew my other two roommates wouldnt notice anything, if anything they would think i was sleeping but probably wouldnt question it. i didnt even think of how my roommate would react when she came home... i didnt really care. the only thing that stopped me was the fact that i was pretty sure i'd heard that committing suicide that way is a really painful/slow process and i wouldnt want to put myself through all that. it was terrifying though... i mean, ive stopped myself twice now, but what about next time? will anything stop me then? its especially scary that the fact that people were right in the next room didnt really stop me or anything.... im just really scared, and i dont want to talk to anyone, not even my therapist... i feel like ive gone backwards, like i cant talk to my roommate anymore, i cant talk to my therapist, i cant talk to my friends... i feel like my roommate is tired of me talking to her and i know its stressing her out and she hasnt asked me how i am in a while so im assuming she doesnt want me to talk to her anymore... so im not... but thats also causing me to close up to everyone else as well...",1
5,"here we go again depression coming back...that's right...time for me to complain. I'm not getting anywhere with this...I wish not to talk to someone face to face...my dad isn't home...I'm drunk...I'm hurt... No one is home but me. I'm all alone. I can't get ahold of my boyfriend and I cut myself...I am not calling any hotline cuz I will not share my voice... I dun deserve to live I want to die, to get out of all this pain My family won't miss me...my dad barely knows I'm here he goes to work everyday forgetting that he has a daughter...my mom lives a state away...I can't see her...she won't know... until my dad calls her saying he found me dead. my brother doesn't care...my sister is only 4 she won't know.... my grandmother knows nothing about me...the rest of my family can care less. My bestest friend wont even take this seriously and my boyfriend isn't answering his phone. I think it is time...",1
6,"i’m sad and confused. I’ve self harmed. I’ve thought about suicide, but not this much before. i’ve been so stressed and just so sad and angry all the time. and i don’t get it. my boyfriend supports me. he’s amazing. my mom is great. my dad is too. i live with grandparents. my grandma bitches at me and it’s proably verbal abuse, but she’s super lovey as well. it makes no sense. i’ve tried to get my grandma to let me have a mental evaluation, but she just ignores it. maybe if i harm myself enough to hospitalize me, maybe she’ll realize that i want help. i want to know why i’m sad. i want to be happy. i don’t want to actually kill myself i guess i just want her to see that i’m not okay and i want help.",1
7,"Lost my sister .. and perhaps myself .. Honestly .. I happened upon this site in searching for an answer as to why I have been so depressed and thinking ... . Sept 12th was the date my older sister killed herself. Every year since, but especially the last 3 years, has been a struggle. I've been in public service for many years and for the past three years have been in Iraq. All of my kids are gone and into their own lives over these last three years ... and for their success and enjoyment of/in life I am thankful. But all too often my dreams now are haunted by the death of my sister -- and I dont know why its been so consuming of all my thoughts as of late? Until now I have never spoken to anyone about it. My parents divorced soon after .. and I was alone throughout the years before I left home and went my own way. I guess since then until now I compartmentalized it all .. but for some reason its flooding back now. I feel alone again .. and in trying to understand the reasons for what she did I cant say that I havent had like thoughts. I kept thinking of what the best situation would be that would have the least impact on my kids. If that is even possible? Nothing I've read nor thru my own experiences in life have really helped me. I think I see on one hand that somehow I must never ever consider doing what she did. But I just cant find a reason that my life has anymore real purpose. Perhaps I never really accepted or dealt with, nor struggled with, what my sister left behind. I guess now I find myself asking questions I should have asked a long time ago? -- How could I have not known since we were so close? Why didn't she tell me; why didnt I notice? Why did she do this too me? I find myself longing desparately to connect with someone, but equally I desire to be alone and away from everyone. I think this tug of war is starting to spill over into my work here ... . I sometimes reason that this is due to me having been here in Iraq for so long, and that I just need to go - home? Only, there is no one .. to go too. The last time I was state side it all just seemed so ... unreal. I don't know if I'm a going to make it or not. ........",1
8,"Does it ever get better? I feel like it is all getting too much again. In May I was raped, I went to the Police but they basically in ways not so obvious but in little hints put it down to me being trans* and gay. I thought that would be the hardest bit going through the forensics and the interview (where I had to explain about my gender, my sexuality and my childhood abuse because of what the forensics showed) but whilst waiting to hear if the perp was going to be charged they offered me no support because it could effect the case if it did go to court. I got bounced between mental health services and SARC neither took responsibility to help me. I then as a transman found out I was pregnant, I felt I had no-one to talk to and tried to take my life. I ended up being arrested for my own safety and took to hospital under section, where I deteriorated end up intensive care and only just survived. After the attempt I had to beg a psychiatrist to put me in hospital on my 20th July. They wanted to send me home but after much pleading and discussing many of the ideation thoughts and impulses in my head he agreed to admit me to psychiatric ward. I was released on Thursday after 3 and half months in patient treatment. I am still just as suicidal as when I went in I still want to die. Now not only do I have to deal with the rape, whilst I was in hospital I found out the police NFAed the case, I lost the fetus due to my actions so I effectively killed my child. I just feel like no one gets me, if I tell mental health workers how I feel, they say it is attention seeking if I was serious I would just do it, but when I do just do it they ask why I never asked for help. So now I feel silenced and like I am walking the tightrope alone and at any moment I could fall.",1
9,"wish to contribute to ""before you kill yourself"" b4 i get banned off this site i'd like to give back. when i feel the urge i have sayings that i picked up over the years that help me to not. i would also like to add to my personnel library by seeing what saying others might use. ------- your parents gave you life. evrything else is a perc. if you were in the ""guff"" awaiting your turn, and you could see your life would be hell, you would jump at the chance to live anyway, knowing you might change it. there is allways some one who would gladly trade thier lifes problems for yours. if you loved some one with all your heart, what would thier suicide do to you....... suicide is a selfish act. ------------ i dont subscribe to all of these all the time, but at any time, one of them might be just enough. i for one am interested in seeing others.",0
