,post,age,gender
0,"I think I found a place to live! It is really nice and very cute! And its in the locality that I want to live in. Its close to work, pubs, clubs, restaurants, and shops! And its cheap! Around $330/month for a 1300 sq. ft. two bedroom apt. The interior is so beautiful. Think of Portland style of 20s architecture with a hint of British influence. I am very excited to have seen it. I was told that I should negotiate the rent even lower...like around Rs. 12,000, which comes out to $266/month. So, okay I will try...doesn't hurt to ask right? That's how I got here!!!!   Yes, India is very cheap but like the States â there are certain things that are cheap or expensive. Today, I was looking at liquor like vodka, more specifically Vanilla Stoli (forgot the name brand) but it would normally cost $20 in the states, here it costs $6. Cable television here is around $2-$4/month. I bought lunch at the Intel cafeteria on Monday for $0.90 (and yes it was a meal!). A pair of nice jeans here cost $10âŚclothes are also cheap and the quality is amazing!!!   I still can't get over the MNC's (multi-national companies) buildings here...its very western architecture mixed right in with shanty towns or old, dilapidated looking buildings. I just saw Dell yesterday and today I saw HP. VERY WEIRD. Its all here in India! There are also tons of people hereâŚ.close to 7 million.   I have impressed quite a few Indians here with my knowledge of Bangalore - research helped. Impressed that I know the street names and even some landmarks - and also a few of the major stores here. After 6 days just being here, I am starting to feel comfortable and at home. That just amazes me...and I am even starting to do the Indian head nod from left to right. Next thing I'll be picking up some salwar kameezes to wear.",26,female
1,"Today is such an awesome day!  I feel good, I look good (my humble opinion...), it's just a beautiful day!  My vertigo is getting much better now - Thank God.  That was driving me nuts.  I didn't have any of it yesterday, and so far none today.  :)  What a nice day.  And here I am, chained to my desk with all of this paperwork...ugh.  That's OK - I feel so good, I will just rip through all of this paperwork this morning and maybe I can get out of here a bit early this afternoon.  That's a plan.  We'll see.  I think I may try to have a nooner with my hubby too - that is one of the perks about working with him!  And to all of my family, that really didn't want to hear about that - Sorry!  But isn't it good to know that your daughter, sister, neice, cousin does have a really EXCELLENT sex life?  That is important! haha!  :) wink, wink!  I know, I'm incorrigible - but you know me, I've always been that way!  That's how I landed me that husband in the first place!  Anyway - hope everyone else is having as good a day as I am!  Talk to y'all later!",35,female
2,"I am glad I got that figured out...my mum was all freaking out about the aprons and junk so I called Beka and she was like ""Don't worry about it! I will bring you one!"" How exciting.  What and busy day.  My mom likes everything to be perfect and Beka just takes it easy and lets it flow so my mom is like freaking out. Haha.  When I return from the picnic I shall bless you with a super long post about everything that happened.  Laura",14,female
3,"ASSET RESPOSITORY    What is an asset repository?  You mean you don’t know?  Well, here’s the beef.  An asset repository is similar to a bank depository—it stores valuables, although in the case of asset repository, it stores valuable information.  These repositories are high class, elaborate, and require the same thing that banks do—lots and lots of money.  Read more about asset repositories in the following extended definition.     “An asset is only an asset when you can find it,  or you know that you have it in the first place”   Teri Ross, Techexchange.com    An asset repository is rather a combination two elements: digital asset management and asset repository.  Whereas the digital asset management (DAM) is a tool to organize digital media assets for storage and retrieval, an asset repository is where and how the data is stored, typically on “a high-end UNIX server, [with] large online storage space and high-speed networks” (Ross).  The DAM application organizes and retrieves the digital media and the asset repository stores it.    Digital Asset Management   Digital Asset Management (DAM) is a means to keep, find and secure files of text, images or sound.  DAM also tracks ownership and rights of the content and implements task management.  Well organized and accessible content results in the ability to quickly find images and data, which systemizes workflow, saving time and money (Brown).   In the computer world . . . there are systems that will pick up after us and remember where we put things. These systems will retrieve items, let us pass them around, and then clean the place up when we're through. I refer, of course, to the software and hardware systems that are called, variously, digital media management, media asset management or digital asset management (DAM) (Smith).  Digital asset management is the software and hardware needed for content management.  The location in which content is stored is the asset repository.   Asset (or Content) Repository  Actual “asset repositories” are generally found in large, high-end asset management systems ($100,000 and up).  Asset repositories are a “secure collection of the source files themselves”.  The image at the webpage below shows the asset repository as a sort of holding tank for content.   urlLink http://www.assetnow.com/index.cfm/4,437,html   A large asset repository performs like a database.  It contains: security, replication, backup safeguards, disaster recovery, referential integrity, centralized data management and a hierarchical storage structure. “Such a system lends itself to workflows that require access security, including management of rights or permissions and access for suppliers or customers. These systems require a high-performance server, a fast network and significant online storage capacity” (Brown).  Asset repositories are sophisticated and expensive systems that contain the actual content within a secure database.  This usually means higher performance software like , “high-end UNIX servers, formidable online storage, and very high-speed networks”.  This allows for “security levels, replication, referential integrity, and centralized data management. Also included is the comfort of full hierarchical storage management and disaster recovery” (Ross).     Solutions based on the asset repository model are ideal when systematizing studios with industrial workflow, managing rights and permissions (such as the intellectual property of either your company or a third party), and structuring global access by employees, contractors, suppliers, partners, and customers (Smith).   Media Catalog vs. Asset Repository  Instead of an asset repository, smaller companies often use media catalogs “that store proxies alone, indexed to the source files"" (Brown).  Media catalogs have proxies (like thumbnails) which are stored in a database indexed by keywords.  The actual source files are under the control of the operating system and are not touched.  Media catalogs are low cost, easy to install and administer and have “scalability across multiple divisions of an enterprise” (Ross).  Media catalogs don’t manage the actual content, so anyone with system access to view, change, move or delete content elements (Ross).     Media Catalog  Entry level solution Desktop or within a workgroup Organizes small collections of images, graphics and text Provides multiple access Cost – under $50,000   Asset Repository  Mid-range solution Client/server technology Wide area networks Manages all assets used in a production job (layouts, images, fonts) Files stored on server, access via DAM system only Check-in/check-out to control versions Stores assets with links for simple retrieval Cost – under $100,00   Upper-End Solutions 3-tier client/server architecture Designed to “drive enterprise on the Internet” Cost – over $100,00 (Smith)",42,female
4,"1 english muffin  1 morningstar farms veggie breakfast patty  1 slice colby jack, from the block  smear of apricot all-fruit spread  coffee (with chicory!)   ~2tsp sugar  ~apx 1/2 c. milk (2%)",33,female
5,"Auto Response from Garaputo316: I am outside standing in the rain, legs spread wide with my arms stretched towards the sky. My hands are tightly gripping a mighty sword as I scream ""I have the powwwweeeerrrr!!!!"" You see, I am attempting to get struck by lightning so that it will seem as if I am the great He-Man. Even if it only lasts for a split second, it will be crazy as hell.  That's what my away message said for a little while today. You guys thought I was joking, I was serious. Except I had a pole and not a sword... but who the heck has a sword nowadays **coughJustincough**. I'm on some He-Man kick after watching  Masters of the Universe . The movie wasn't cool or anything, but when Dolph Lundgren yelled ""I have the power!"" I remembered the part from the old show where he would lift his sword in the air and lightning would strike it. Then I remembered when Charlie Wagner imitated it with a metal baseball bat and I laughed for a half hour straight. It was pretty crazy when I did it, but I had no luck with the lightning strike, sadly.  After that little endeavor I walked up to 7-11 to buy some Sour Bright Crawlers. I ended up staying there for a while reading an  Import Tuner  magazine. When I left the guy made fun of me for staying in there too long. I just laughed. It could've been worse; I could've stayed in there much longer, but I decided to leave before I seemed like a kook. Apparently I already looked like one. It's ok though, next time I will stay in there  all  day reading  all  the magazines and eating  all  the food -- and I won't pay for it. Wuahaha. Yep, I'm wiggin.  My dad said that we're going to work at 3 o clock this morning and I was like ""AM?"" and he's like ""yeah."" The funny thing is he's not playing around. That's how we do it around here yo. The workin don't stop till 7 in the mornin.",17,male
6,"Date: 31 July 2004   Time: 10.40pm   Location: In dreamland   Status: tired   Re: I'm a toy   Went back to school to paint banner in the afternoon...hate the long ride to school...reached school...saw so many other people from other JCs...went to find Weiliang and Nancy in the grandstand...sit down and look at the rugby girls..lol...PJC having rugby friendly carnival today...so many chio bus...see liao can drool and kanna nose bleed...lol...played abit of basketball...then went to help them with the banner...thought there would be alot of people doing it...but guess what? There's only FOUR people doing it...Weiliang, Jinhong, Nancy and me...what the heck...helped them do some painting stuff...do until 4++pm...then went to wash up...damn...those paint stains are so hard to get rid of...after much scrubbing and washing...most of the stains are gone...thank god I never dirt my basketball shorts...phew...slacked in the canteen for a while...went back home after that...walked past Henderson court..saw Stackers training there...it's been a long time since I played with them or played in Henderson basketball court...reached home...slack and sleep...then Siliang called me to go play basketball with him..played at Henderson baskerball court...Boon Peng and Chuan Ming were already there...after awhile Siliang came...played 2-2....long time never play with Siliang...he skills improved a lot sia...a lot of his moves is for 'kiao' people one...scary...don't want to get injured again...hur hur...played for quite some time...decided to rest....went to sit on the benches to talk..then some bastard from the HDB block threw something down...looks like ink...shit man...that's one reason I hate playing at Henderson...the Malays here are assholes...no offense...but they steal...bully...and create trouble for the residents here...stole my handphone two times liao...then everytime act as though they own the place...fuck them...and they also like to throw things at people from the HDB blocks...bastards..one time they throw a bamboo pole down..nearly hit an elderly woman...then got one time some fucker threw a glass bottle down...hit the ground beside me and kanna cuts from the shattered glass...so...how I know its the work of the malays? Hmm...i SAW them throwing things...bastards...assholes...fuckers...HATE them to the core...but that's only for the malays in my area...then played with the pros...namely Terrington and Co. =P...but t seems like they were not interested in playing properly...they were more like monkeying around and toying with us...haix...sucks man...hate the feeling of being toyed around...shows that we are nothing to them...totally lost my interest to play...went to the market with Boon Peng Siliang and Chuan Ming to slack...went home after that...sucks man...  -=]CHAN TU YUAN[=-",17,male
7,"My prediction.   An email I sent out 2 minutes ago.  I predict that Rick Fox and Bryan Russel will drop a combined 40 on the Pistons tonight, Shaq will make 14 straight free-throws, Payton will lead the team in rebounds, and Kobe will have 4 points, 20 assists, and no turnover.  Karl will lose his knee brace and his right shoe on a lay-up attempt, which will hit Rasheed in the eye and sideline him for the entire game.  Hamilton's mask will fog up and his blurred vision will cause him to run into a pick and breaking his nose in the 3rd quarter.    Kid Rock will spill his beer and Chauncey will trip on it, breaking his tailbone.  Luke Walton will dunk on Ben Wallace, and as a result both Walton senior and Phil Jackson will have to be escorted out by security for excessive celebration and excessive reference to John Wooden, respectively.  And in the end, they will probably still lose to the Pistons.  Which is just as well, I would never share a championship with all these fair weather band wagon fans in LA anyway.  Fuck them.  Tell them that Yankees still have a shot and their hats are on sale.  After watching all the Lakers' pre, regular, and post season games, I knew from the beginning that this was going to be a tough series, despite all these basketball gurus annointing Lakers in 5.  Somehow, recognizing all the flaw in my team makes me feel like the one true Lakers' fan in the world.  cho",25,male
8,"""I'm not afraid to compete. It's just the opposite. Don't you see that? I'm afraid I will compete- that's what scares me. That's why I quit the Theater Department. Just because I'm so horribly conditioned to accept everybody else's values, and just because I like applause and people to rave about me, doesn't make it right. I'm ashamed of it. I'm sick of it. I'm sick of not having the courage to be an absolute nobody. I'm sick of myself and everybody else that wants to make some kind of a splash.""",33,female
9,"Whats new in the land of the Suddenly single? Well, how about a review of the best places to goggle the other supposedly singles, suddenly singles and permanently singles, and see if we can tell the difference between them. Our favorite places are in the La Jolla/Del Mar area, but there are lots more yet to discover, say Downtown San Diego, and Mission Valley.   Cafe Japengos - known for its BUSTling Thursday nights, this crowd is a little more relaxed these days. Here you will see mostly blonde and gray hair - blonde women and gray-haired men chasing them! You can get the best sushi in san diego here as well as the best apple martini. All this after working out at the club/spa sporting club one across the circle.   Epazotes/Cafe Pacifica - Del mar is not only famous for its horses, but its long-legged FILLIES!!! Here you get a much mellower scene, where you can start at Epazotes, stroll across to Cafe Pacifica, then wine-down at the wine bar at Il Forniao. This is my personal favorite, but watch out - here is where you are most likely to be taken in by a beautiful sunset and romanced into thinking a permanently single is just a regular old single (You see there are differences). Here you will be lulled by the sound of the fountian tinkling as you sip a special port or smoke a special cigar. Dont fall asleep, or like a midsummers night dream, you will wake up to find yourself with bruises and not know where they came from!   what else? There is Dobsons Downtown, where I hear the lawyers lurk, and then Gordon Beirsh, the younger business/networking crowd.   This suddenly single has decided that she will not be going to these places anymore, due to an unfortunate incident involving too much, too soon, and not enough from the wrong person! You figure that one out and you win the ""suddenly single sweepstakes"". :)  When suddenly single, it is generally a good idea to call all the people that you forgot about while not single, and re-connect, apologising and supplicating yourself until it becomes embarrassing for said friends. They will forgive you, but you must try harder next time you are not single to maintain contact or they may forget about you.  Places to take those that you are kissing up to: Art - The Vatican is coming out of the closet - er - showing itself - er - displaying its treasures (oh! I give UP) at the San Diego Museum of art, in a rare never before seen in public appearance. music - the yeah yeah yeahs are playing at Soma, soon. Very high cool factor. duh. For the rest of you yahoos, Friday is the ""your 5"" concert with Jessica simpson and a bunch of un-altered MUSICIANS. Sports - The rock and roll marathon is coming up - running, drinking and bands - a great event to spend all our suddenly single time preparing for!   When suddenly single, I found that the best therapy was window-shopping for things that any of your exes would not have approved of - open-toed shoes, low-rise jeans, new peircings- this time in your tongue.   Keep to your friends, friends, and you'll never go wrong.",36,female
